step,generated_token_id,generated_token,rank,prompt_index,absolute_position,token_id,token,attention
1,785,The,1,2,214,2168,Ġimage,0.04125992953777313
1,785,The,2,0,212,74785,Describe,0.03577893599867821
1,785,The,3,1,213,419,Ġthis,0.027775822207331657
2,2168,Ġimage,1,2,214,2168,Ġimage,0.04949980974197388
2,2168,Ġimage,2,0,212,74785,Describe,0.022561239078640938
2,2168,Ġimage,3,1,213,419,Ġthis,0.021833041682839394
3,374,Ġis,1,2,214,2168,Ġimage,0.036354899406433105
3,374,Ġis,2,1,213,419,Ġthis,0.014801462180912495
3,374,Ġis,3,0,212,74785,Describe,0.013850084505975246
4,264,Ġa,1,2,214,2168,Ġimage,0.019970020279288292
4,264,Ġa,2,0,212,74785,Describe,0.01234399899840355
4,264,Ġa,3,1,213,419,Ġthis,0.011522743850946426
5,3015,Ġwater,1,2,214,2168,Ġimage,0.017458200454711914
5,3015,Ġwater,2,1,213,419,Ġthis,0.008634361438453197
5,3015,Ġwater,3,0,212,74785,Describe,0.008619016967713833
6,3423,color,1,2,214,2168,Ġimage,0.009698553942143917
6,3423,color,2,0,212,74785,Describe,0.005486899521201849
6,3423,color,3,1,213,419,Ġthis,0.004735914524644613
7,18824,Ġpainting,1,2,214,2168,Ġimage,0.012976462952792645
7,18824,Ġpainting,2,1,213,419,Ġthis,0.006281415931880474
7,18824,Ġpainting,3,0,212,74785,Describe,0.006186724174767733
8,315,Ġof,1,2,214,2168,Ġimage,0.013747751712799072
8,315,Ġof,2,1,213,419,Ġthis,0.0082109235227108
8,315,Ġof,3,0,212,74785,Describe,0.006269451230764389
9,264,Ġa,1,2,214,2168,Ġimage,0.010474840179085732
9,264,Ġa,2,1,213,419,Ġthis,0.007418123539537191
9,264,Ġa,3,0,212,74785,Describe,0.005503250285983086
10,1697,Ġperson,1,2,214,2168,Ġimage,0.007823383435606956
10,1697,Ġperson,2,1,213,419,Ġthis,0.004778082948178053
10,1697,Ġperson,3,0,212,74785,Describe,0.0041323136538267136
11,448,Ġwith,1,2,214,2168,Ġimage,0.006851268000900745
11,448,Ġwith,2,1,213,419,Ġthis,0.004037368576973677
11,448,Ġwith,3,0,212,74785,Describe,0.0037148238625377417
12,68103,Ġcurly,1,2,214,2168,Ġimage,0.004773551132529974
12,68103,Ġcurly,2,0,212,74785,Describe,0.0036665359511971474
12,68103,Ġcurly,3,1,213,419,Ġthis,0.0036603796761482954
13,6869,Ġhair,1,2,214,2168,Ġimage,0.0031860796734690666
13,6869,Ġhair,2,0,212,74785,Describe,0.0026651928201317787
13,6869,Ġhair,3,1,213,419,Ġthis,0.002395894844084978
14,13,.,1,2,214,2168,Ġimage,0.0034797994885593653
14,13,.,2,0,212,74785,Describe,0.0026465142145752907
14,13,.,3,1,213,419,Ġthis,0.0026013394817709923
15,576,ĠThe,1,0,212,74785,Describe,0.008597776293754578
15,576,ĠThe,2,2,214,2168,Ġimage,0.008077297359704971
15,576,ĠThe,3,1,213,419,Ġthis,0.007331778760999441
16,6869,Ġhair,1,2,214,2168,Ġimage,0.006310991011559963
16,6869,Ġhair,2,1,213,419,Ġthis,0.004605363588780165
16,6869,Ġhair,3,0,212,74785,Describe,0.0045639886520802975
17,374,Ġis,1,2,214,2168,Ġimage,0.0036117765121161938
17,374,Ġis,2,1,213,419,Ġthis,0.0023451277520507574
17,374,Ġis,3,0,212,74785,Describe,0.002237303415313363
18,43794,Ġdepicted,1,2,214,2168,Ġimage,0.002985141007229686
18,43794,Ġdepicted,2,0,212,74785,Describe,0.0026429546996951103
18,43794,Ġdepicted,3,1,213,419,Ġthis,0.0024907502811402082
19,304,Ġin,1,2,214,2168,Ġimage,0.004412161651998758
19,304,Ġin,2,0,212,74785,Describe,0.0031704269349575043
19,304,Ġin,3,1,213,419,Ġthis,0.002785909455269575
20,32976,Ġvibrant,1,2,214,2168,Ġimage,0.003187326481565833
20,32976,Ġvibrant,2,1,213,419,Ġthis,0.0022854143753647804
20,32976,Ġvibrant,3,0,212,74785,Describe,0.0020784996449947357
21,11,",",1,2,214,2168,Ġimage,0.0030423561111092567
21,11,",",2,0,212,74785,Describe,0.002146025886759162
21,11,",",3,1,213,419,Ġthis,0.0018678174819797277
22,92278,Ġswirling,1,2,214,2168,Ġimage,0.002401595003902912
22,92278,Ġswirling,2,0,212,74785,Describe,0.001673925668001175
22,92278,Ġswirling,3,1,213,419,Ġthis,0.0015762412222102284
23,7987,Ġcolors,1,2,214,2168,Ġimage,0.0021234233863651752
23,7987,Ġcolors,2,0,212,74785,Describe,0.0013337722048163414
23,7987,Ġcolors,3,1,213,419,Ġthis,0.0011887471191585064
24,11,",",1,2,214,2168,Ġimage,0.0023535266518592834
24,11,",",2,0,212,74785,Describe,0.0016331622609868646
24,11,",",3,1,213,419,Ġthis,0.0014495361829176545
25,2670,Ġincluding,1,2,214,2168,Ġimage,0.0029448289424180984
25,2670,Ġincluding,2,1,213,419,Ġthis,0.0026980622205883265
25,2670,Ġincluding,3,0,212,74785,Describe,0.0026198080740869045
26,36099,Ġshades,1,2,214,2168,Ġimage,0.0020400523208081722
26,36099,Ġshades,2,0,212,74785,Describe,0.0017932833870872855
26,36099,Ġshades,3,1,213,419,Ġthis,0.001451983000151813
27,315,Ġof,1,2,214,2168,Ġimage,0.0023627348709851503
27,315,Ġof,2,0,212,74785,Describe,0.0017202682793140411
27,315,Ġof,3,1,213,419,Ġthis,0.0012920622248202562
28,6303,Ġblue,1,2,214,2168,Ġimage,0.00202561286278069
28,6303,Ġblue,2,0,212,74785,Describe,0.0012698716018348932
28,6303,Ġblue,3,1,213,419,Ġthis,0.0011640287702903152
29,11,",",1,2,214,2168,Ġimage,0.0019416450522840023
29,11,",",2,0,212,74785,Describe,0.0011590149952098727
29,11,",",3,1,213,419,Ġthis,0.0009987893281504512
30,18575,Ġorange,1,2,214,2168,Ġimage,0.0015784614952281117
30,18575,Ġorange,2,0,212,74785,Describe,0.0013120805379003286
30,18575,Ġorange,3,1,213,419,Ġthis,0.0011131790233775973
31,11,",",1,2,214,2168,Ġimage,0.0015989034436643124
31,11,",",2,0,212,74785,Describe,0.0011672608088701963
31,11,",",3,1,213,419,Ġthis,0.0008697236771695316
32,323,Ġand,1,2,214,2168,Ġimage,0.001719587598927319
32,323,Ġand,2,0,212,74785,Describe,0.0014268921222537756
32,323,Ġand,3,1,213,419,Ġthis,0.0012443778105080128
33,18217,Ġpink,1,2,214,2168,Ġimage,0.001638000481761992
33,18217,Ġpink,2,0,212,74785,Describe,0.0012924778275191784
33,18217,Ġpink,3,1,213,419,Ġthis,0.001150584896095097
34,11,",",1,2,214,2168,Ġimage,0.0021972928661853075
34,11,",",2,0,212,74785,Describe,0.0012979734456166625
34,11,",",3,1,213,419,Ġthis,0.001132783479988575
35,6825,Ġcreating,1,2,214,2168,Ġimage,0.002474152483046055
35,6825,Ġcreating,2,1,213,419,Ġthis,0.00166775519028306
35,6825,Ġcreating,3,0,212,74785,Describe,0.0016112979501485825
36,264,Ġa,1,2,214,2168,Ġimage,0.002563771326094866
36,264,Ġa,2,0,212,74785,Describe,0.0017964827129617333
36,264,Ġa,3,1,213,419,Ġthis,0.0017746200319379568
37,8741,Ġdynamic,1,2,214,2168,Ġimage,0.003093478037044406
37,8741,Ġdynamic,2,1,213,419,Ġthis,0.0017935442738234997
37,8741,Ġdynamic,3,0,212,74785,Describe,0.0015931574162095785
38,323,Ġand,1,2,214,2168,Ġimage,0.0028090947307646275
38,323,Ġand,2,0,212,74785,Describe,0.0016882127383723855
38,323,Ġand,3,1,213,419,Ġthis,0.001571673434227705
39,48177,Ġlively,1,2,214,2168,Ġimage,0.0026030121371150017
39,48177,Ġlively,2,1,213,419,Ġthis,0.0018215812742710114
39,48177,Ġlively,3,0,212,74785,Describe,0.0016561151714995503
40,2456,Ġeffect,1,2,214,2168,Ġimage,0.0031735303346067667
40,2456,Ġeffect,2,1,213,419,Ġthis,0.00198493804782629
40,2456,Ġeffect,3,0,212,74785,Describe,0.0017507957527413964
41,13,.,1,2,214,2168,Ġimage,0.002606562338769436
41,13,.,2,1,213,419,Ġthis,0.0018155386205762625
41,13,.,3,0,212,74785,Describe,0.0016268612816929817
42,576,ĠThe,1,0,212,74785,Describe,0.005073281936347485
42,576,ĠThe,2,2,214,2168,Ġimage,0.004998032934963703
42,576,ĠThe,3,1,213,419,Ġthis,0.004494181834161282
43,4004,Ġbackground,1,2,214,2168,Ġimage,0.0045241317711770535
43,4004,Ġbackground,2,0,212,74785,Describe,0.0027124653570353985
43,4004,Ġbackground,3,1,213,419,Ġthis,0.0026302982587367296
44,374,Ġis,1,2,214,2168,Ġimage,0.005032706540077925
44,374,Ġis,2,1,213,419,Ġthis,0.002080135978758335
44,374,Ġis,3,0,212,74785,Describe,0.0018643933581188321
45,264,Ġa,1,2,214,2168,Ġimage,0.003404034534469247
45,264,Ġa,2,1,213,419,Ġthis,0.0019041304476559162
45,264,Ġa,3,0,212,74785,Describe,0.0017469892045482993
46,8413,Ġsoft,1,2,214,2168,Ġimage,0.003071801969781518
46,8413,Ġsoft,2,1,213,419,Ġthis,0.001483345404267311
46,8413,Ġsoft,3,0,212,74785,Describe,0.0013187533477321267
47,11,",",1,2,214,2168,Ġimage,0.0026749358512461185
47,11,",",2,0,212,74785,Describe,0.0013447912642732263
47,11,",",3,1,213,419,Ġthis,0.0010726840700954199
48,3267,Ġpast,1,2,214,2168,Ġimage,0.0020291535183787346
48,3267,Ġpast,2,0,212,74785,Describe,0.0010898838518187404
48,3267,Ġpast,3,1,213,419,Ġthis,0.000999526004306972
49,301,el,1,2,214,2168,Ġimage,0.0021942227613180876
49,301,el,2,0,212,74785,Describe,0.0012386566959321499
49,301,el,3,1,213,419,Ġthis,0.0009894176619127393
50,20169,Ġgradient,1,2,214,2168,Ġimage,0.0026064193807542324
50,20169,Ġgradient,2,0,212,74785,Describe,0.0011925307335332036
50,20169,Ġgradient,3,1,213,419,Ġthis,0.000961577519774437
51,11,",",1,2,214,2168,Ġimage,0.0023666296619921923
51,11,",",2,0,212,74785,Describe,0.0012623851653188467
51,11,",",3,1,213,419,Ġthis,0.0011064347345381975
52,46494,Ġenhancing,1,2,214,2168,Ġimage,0.002772863255813718
52,46494,Ġenhancing,2,1,213,419,Ġthis,0.001851469511166215
52,46494,Ġenhancing,3,0,212,74785,Describe,0.001619807560928166
53,279,Ġthe,1,2,214,2168,Ġimage,0.002876223297789693
53,279,Ġthe,2,1,213,419,Ġthis,0.0019989563152194023
53,279,Ġthe,3,0,212,74785,Describe,0.001790369744412601
54,8084,Ġoverall,1,2,214,2168,Ġimage,0.0037170995492488146
54,8084,Ġoverall,2,1,213,419,Ġthis,0.0019739754498004913
54,8084,Ġoverall,3,0,212,74785,Describe,0.0014686827780678868
55,8372,Ġeth,1,2,214,2168,Ġimage,0.003917597234249115
55,8372,Ġeth,2,1,213,419,Ġthis,0.0020317481830716133
55,8372,Ġeth,3,0,212,74785,Describe,0.0018951930105686188
56,43253,ereal,1,2,214,2168,Ġimage,0.0026419381611049175
56,43253,ereal,2,0,212,74785,Describe,0.0016128539573401213
56,43253,ereal,3,1,213,419,Ġthis,0.0013592330506071448
57,323,Ġand,1,2,214,2168,Ġimage,0.003477168269455433
57,323,Ġand,2,1,213,419,Ġthis,0.0018729395233094692
57,323,Ġand,3,0,212,74785,Describe,0.001688629388809204
58,7904,Ġdream,1,2,214,2168,Ġimage,0.002724002581089735
58,7904,Ġdream,2,1,213,419,Ġthis,0.001714937505312264
58,7904,Ġdream,3,0,212,74785,Describe,0.001441227039322257
59,88,y,1,2,214,2168,Ġimage,0.002725958824157715
59,88,y,2,1,213,419,Ġthis,0.0013567977584898472
59,88,y,3,0,212,74785,Describe,0.0012641767971217632
60,16566,Ġatmosphere,1,2,214,2168,Ġimage,0.004823425784707069
60,16566,Ġatmosphere,2,1,213,419,Ġthis,0.002364416839554906
60,16566,Ġatmosphere,3,0,212,74785,Describe,0.0019386106869205832
61,315,Ġof,1,2,214,2168,Ġimage,0.004880538210272789
61,315,Ġof,2,1,213,419,Ġthis,0.0029536273796111345
61,315,Ġof,3,0,212,74785,Describe,0.0021170247346162796
62,279,Ġthe,1,2,214,2168,Ġimage,0.006201629061251879
62,279,Ġthe,2,1,213,419,Ġthis,0.003513512434437871
62,279,Ġthe,3,0,212,74785,Describe,0.0018323221011087298
63,28309,Ġartwork,1,2,214,2168,Ġimage,0.008744051679968834
63,28309,Ġartwork,2,1,213,419,Ġthis,0.0032509739976376295
63,28309,Ġartwork,3,0,212,74785,Describe,0.001983810216188431
64,13,.,1,2,214,2168,Ġimage,0.007896739058196545
64,13,.,2,1,213,419,Ġthis,0.003519749967381358
64,13,.,3,0,212,74785,Describe,0.0029695178382098675
65,576,ĠThe,1,2,214,2168,Ġimage,0.005467909853905439
65,576,ĠThe,2,0,212,74785,Describe,0.005168201867491007
65,576,ĠThe,3,1,213,419,Ġthis,0.00418093940243125
66,1697,Ġperson,1,2,214,2168,Ġimage,0.004835490602999926
66,1697,Ġperson,2,0,212,74785,Describe,0.002746366197243333
66,1697,Ġperson,3,1,213,419,Ġthis,0.0026592393405735493
67,594,'s,1,2,214,2168,Ġimage,0.003902989439666271
67,594,'s,2,1,213,419,Ġthis,0.0020481026731431484
67,594,'s,3,0,212,74785,Describe,0.0018205594969913363
68,3579,Ġface,1,2,214,2168,Ġimage,0.003089440055191517
68,3579,Ġface,2,1,213,419,Ġthis,0.0018578091403469443
68,3579,Ġface,3,0,212,74785,Describe,0.0016690861666575074
69,374,Ġis,1,2,214,2168,Ġimage,0.002555052749812603
69,374,Ġis,2,1,213,419,Ġthis,0.0014831479638814926
69,374,Ġis,3,0,212,74785,Describe,0.0014370664721354842
70,25244,Ġpartially,1,2,214,2168,Ġimage,0.0023875688202679157
70,25244,Ġpartially,2,1,213,419,Ġthis,0.0017160169081762433
70,25244,Ġpartially,3,0,212,74785,Describe,0.00170234648976475
71,9434,Ġvisible,1,2,214,2168,Ġimage,0.0026161151472479105
71,9434,Ġvisible,2,1,213,419,Ġthis,0.0016645542345941067
71,9434,Ġvisible,3,0,212,74785,Describe,0.0016143143875524402
72,11,",",1,2,214,2168,Ġimage,0.0029650507494807243
72,11,",",2,1,213,419,Ġthis,0.001512525836005807
72,11,",",3,0,212,74785,Describe,0.0013806383358314633
73,448,Ġwith,1,2,214,2168,Ġimage,0.002221464179456234
73,448,Ġwith,2,0,212,74785,Describe,0.0016665238654240966
73,448,Ġwith,3,1,213,419,Ġthis,0.0015982872573658824
74,264,Ġa,1,2,214,2168,Ġimage,0.0017191452207043767
74,264,Ġa,2,0,212,74785,Describe,0.0011802578810602427
74,264,Ġa,3,1,213,419,Ġthis,0.0011420431546866894
75,94763,Ġserene,1,2,214,2168,Ġimage,0.0018109817756339908
75,94763,Ġserene,2,0,212,74785,Describe,0.0010239992989227176
75,94763,Ġserene,3,1,213,419,Ġthis,0.0009499068255536258
76,7493,Ġexpression,1,2,214,2168,Ġimage,0.001859406242147088
76,7493,Ġexpression,2,0,212,74785,Describe,0.001047183875925839
76,7493,Ġexpression,3,1,213,419,Ġthis,0.0009662353550083935
77,323,Ġand,1,2,214,2168,Ġimage,0.0016522170044481754
77,323,Ġand,2,0,212,74785,Describe,0.0010583206312730908
77,323,Ġand,3,1,213,419,Ġthis,0.0008796153124421835
78,264,Ġa,1,2,214,2168,Ġimage,0.0013485284289345145
78,264,Ġa,2,0,212,74785,Describe,0.0009423397132195532
78,264,Ġa,3,1,213,419,Ġthis,0.0008728521643206477
79,21700,Ġgentle,1,2,214,2168,Ġimage,0.0012919954024255276
79,21700,Ġgentle,2,0,212,74785,Describe,0.0008732210844755173
79,21700,Ġgentle,3,1,213,419,Ġthis,0.0007731348741799593
80,35396,Ġgaze,1,2,214,2168,Ġimage,0.0014061445835977793
80,35396,Ġgaze,2,0,212,74785,Describe,0.0010080202482640743
80,35396,Ġgaze,3,1,213,419,Ġthis,0.0007703480659984052
81,15540,Ġdirected,1,2,214,2168,Ġimage,0.001444130903109908
81,15540,Ġdirected,2,0,212,74785,Describe,0.0010397073347121477
81,15540,Ġdirected,3,1,213,419,Ġthis,0.0009419166017323732
82,6974,Ġtowards,1,2,214,2168,Ġimage,0.0017751529812812805
82,6974,Ġtowards,2,0,212,74785,Describe,0.001182556850835681
82,6974,Ġtowards,3,1,213,419,Ġthis,0.0011326681124046445
83,279,Ġthe,1,2,214,2168,Ġimage,0.0022670545149594545
83,279,Ġthe,2,1,213,419,Ġthis,0.0013178209774196148
83,279,Ġthe,3,0,212,74785,Describe,0.0010987049899995327
84,25708,Ġviewer,1,2,214,2168,Ġimage,0.003162180073559284
84,25708,Ġviewer,2,1,213,419,Ġthis,0.001348815974779427
84,25708,Ġviewer,3,0,212,74785,Describe,0.001161593827418983
